,Rank,Peak,All_Time_Peak,Actual_gross,Adjusted_gross_2022,Artist,Tour_title,Shows,Average_gross,Start_Year,End_Year
0,1,1,2,780000000,780000000,Taylor Swift,The Eras Tour ,56,13928571,2023,2024
1,2,1,7,579800000,579800000,Beyoncé,Renaissance World Tour,56,10353571,2023,2023
2,3,1,2,411000000,560622615,Madonna,Sticky & Sweet Tour ,85,4835294,2008,2009
3,4,2,10,397300000,454751555,Pink,Beautiful Trauma World Tour,156,2546795,2018,2019
4,5,2,0,345675146,402844849,Taylor Swift,Reputation Stadium Tour,53,6522173,2018,2018
5,6,2,10,305158363,388978496,Madonna,The MDNA Tour,88,3467709,2012,2012
6,7,2,0,280000000,381932682,Celine Dion,Taking Chances World Tour,131,2137405,2008,2009
7,7,0,0,257600000,257600000,Pink,Summer Carnival ,41,6282927,2023,2024
8,9,0,0,256084556,312258401,Beyoncé,The Formation World Tour,49,5226215,2016,2016
9,10,0,0,250400000,309141878,Taylor Swift,The 1989 World Tour,85,2945882,2015,2015
10,11,0,0,229100000,283202896,Beyoncé,The Mrs. Carter Show World Tour,132,1735606,2013,2014
11,12,0,14,227400000,295301479,Lady Gaga,The Monster Ball Tour *,203,1118227,2009,2011
12,13,0,0,204000000,251856802,Katy Perry,Prismatic World Tour,151,1350993,2014,2015
13,14,1,0,200000000,299676265,Cher,Living Proof: The Farewell Tour ,325,615385,2002,2005
14,15,2,0,194000000,281617035,Madonna,Confessions Tour,60,3233333,2006,2006
15,16,0,0,184000000,227452347,Pink,The Truth About Love Tour,142,1295775,2013,2014
16,17,0,0,170000000,213568571,Lady Gaga,Born This Way Ball,98,1734694,2012,2013
17,18,0,0,169800000,207046755,Madonna,Rebel Heart Tour,82,2070732,2015,2016
18,19,0,0,167700000,204486106,Adele,Adele Live 2016,121,1385950,2016,2017
19,20,0,0,150000000,185423109,Taylor Swift,The Red Tour,86,1744186,2013,2014
